id,type,category,one_line_summary,depends_on,auth_type,transport,source,tier,license,hermes_coupling,portability,suggested_use
airtable,mcp_server,data,"Read/write access to bases, tables, and records in an Airtable workspace.",OAuth grant to Airtable account; Airtable API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.airtable.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal — standard OAuth via Hermes's mcp_oauth_manager (DCR/PKCE); brand-pill keyword suggestion config only.,HIGH,"OPTIONAL — useful for Airtable users specifically, not a universal need"
algolia,mcp_server,dev-tools,"Read-only inspection of Algolia search indices, analytics, and settings.",OAuth grant to Algolia account; Algolia Search API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.algolia.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)","Minimal, standard OAuth.",HIGH,OPTIONAL — niche to teams already using Algolia search infra
alltrails,mcp_server,general,Search hiking trails with reviews and ratings on AllTrails.,None (anonymous); AllTrails trail database,none,"http, vendor-hosted, no auth required",https://www.alltrails.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)","Manifest flags unusually verbose tool schemas (~24K tokens for 5 tools) and suggests leaving it disabled until needed — a Hermes context-budget-driven usage note, not a code dependency.",HIGH,OPTIONAL — consumer hobby niche
amplitude,mcp_server,analytics,"Query Amplitude analytics charts, dashboards, experiments, and feature flags.",OAuth grant to Amplitude account; Amplitude Analytics API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.amplitude.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal; documents an EU-region URL override in config.yaml.,HIGH,OPTIONAL — product-analytics niche
asana,mcp_server,productivity,"Find, create, and update tasks, projects, and goals in an Asana workspace.","ASANA_CLIENT_ID / ASANA_CLIENT_SECRET (user must register their own Asana ""MCP app"" — no Dynamic Client Registration); Asana API",OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.asana.com/v2/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)","Notable — Asana's v2 endpoint has no DCR, so Hermes pins a fixed localhost:27890 OAuth redirect and prompts the user for a self-registered client id/secret pair, storing the secret in the profile .env.","MEDIUM — standard MCP endpoint, but the fixed redirect port and manual app-registration flow are config details a competing host would need to reproduce",DEFAULT — Asana is a very widely used project-management tool
atlassian,mcp_server,productivity,Work with Jira issues and Confluence pages through Atlassian's official hosted remote MCP.,OAuth grant to Atlassian account; Jira + Confluence APIs,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.atlassian.com/v1/mcp/authv2,official,"N/A (hosted service, vendor ToS applies, no local code)",Minimal; comment notes the vendor deprecated an older /v1/sse endpoint in favor of this one.,HIGH,DEFAULT — Jira/Confluence are extremely common in dev and PM workflows
attio,mcp_server,crm,"Manage CRM records, lists, and notes in Attio.",OAuth grant to Attio account; Attio API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.attio.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Excludes an identity self-probe and a plan-gated raw-SQL escape-hatch tool — a recurring Hermes policy of dropping generic API-execute indirection tools.,HIGH,OPTIONAL — CRM niche to Attio customers
aws-knowledge,mcp_server,dev-tools,"Look up authoritative AWS documentation, API references, and best practices.",None (anonymous); public AWS docs corpus,none,"http, vendor-hosted, no auth required",https://knowledge-mcp.global.api.aws,official,"N/A (hosted service, vendor ToS applies, no local code)",Excludes the vendor's own SKILL.md-fetching tool because it duplicates Hermes's own skills/tool_search instruction-discovery layer.,HIGH,"DEFAULT — broadly useful, zero-friction reference for AWS-adjacent work"
betterstack,mcp_server,dev-tools,"Manage Better Stack logs, uptime monitors, incidents, and status pages.",OAuth grant to Better Stack account; Better Stack API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.betterstack.com,official,"N/A (hosted service, vendor ToS applies, no local code)","Heavy curation — a large glob+literal exclude list strips docs search, instruction pseudo-tools, a raw ClickHouse-SQL execute hatch, cloud-credential minting, and team-membership management out of a ~106-tool surface.",HIGH,OPTIONAL — observability/ops niche
buildkite,mcp_server,dev-tools,"Inspect Buildkite CI/CD pipelines, builds, and test results.",OAuth grant to Buildkite account; Buildkite API,OAuth,"http, vendor-hosted (URL-only, no install block — Hermes never runs local code)",https://mcp.buildkite.com/mcp,official,"N/A (hosted service, vendor ToS applies, no local code)",Excludes a token self-probe and a tool that can pull raw CI secrets into model context — a safety-driven default.,HIGH,OPTIONAL — CI platform niche (one of several competing CI vendors in the catalog)
